Class,Opal_520,Opal_570,Opal_620,Opal_690,Distance
520:570:690,0.3483,0.1596,0.0225,0.1164,2871.8301
520:570:690,0.2152,0.1041,0.0196,0.1136,2866.8936
520:570:690,0.5518,0.0258,0.016,0.2296,2861.261
520:690,0.4816,0.0202,0.02,0.3153,2868.6372
520:570,0.2459,0.1088,0.0211,0.0229,2918.8682
520:690,0.3364,0.0087,0.0453,0.1355,2983.0896
520:690,0.5933,0.0107,0.0278,0.2936,2867.8188
520,0.8445,0.0068,0.032,0.0269,2915.179
520:690,0.2962,0.0093,0.0159,0.188,2859.8235
520:690,0.5323,0.004,0.0165,0.1715,2992.3601
520:690,0.2462,0.002,0.0172,0.1193,2969.6531
520:620,0.4996,0.0082,0.1026,0.0207,2902.8149
520:620:690,0.4979,0.0107,0.2002,0.283,2864.804
520:620,1.8943,0.0024,0.2696,0.0492,2877.47
520:690,0.2463,0.0121,0.0211,0.2872,2942.5459
520:620,2.7612,0.0045,0.1977,0.0394,3046.8193
520:570,0.2835,0.0349,0.0149,0.0243,3034.6992
520:690,0.1283,0.0015,0.0148,0.0747,2899.2971
520:690,0.1628,0.0112,0.0179,0.1088,2955.7964
520:690,0.3304,0.0085,0.0187,0.1333,2853.4824
520:690,0.1441,0.0057,0.015,0.0604,2902.406
520:620,2.1477,0.009,0.1522,0.0113,3073.0474
520:620,1.176,0.0015,0.088,0.0334,2700.5413
520:690,0.455,0.0056,0.0137,0.1308,2843.2229
520:570:690,0.2052,0.0969,0.0193,0.1014,2864.0667
520:690,0.2399,0.0058,0.0146,0.1063,2850.8083
520:690,0.3998,0.0129,0.0369,0.1948,3029.1318
520:570:690,0.1413,0.0507,0.0142,0.0945,2800.53
520:620:690,0.2893,0.0052,0.2987,0.0719,2948.6438
520:690,0.1449,0.0068,0.0126,0.0705,2772.175
520:690,0.4951,0.0054,0.0112,0.1825,3019.9814
520:690,0.4982,0.0058,0.0139,0.2339,3028.6824
520:620,1.5423,0.0041,0.1447,0.0346,2957.0034
520:620:690,0.1818,0.0053,0.2232,0.0815,2641.1731
520:620:690,0.1784,0.0038,0.2604,0.0597,2734.6604
520:690,0.1465,0.0042,0.036,0.0901,2745.0022
520:690,0.2737,0.0053,0.0215,0.1389,3030.553
520:620,0.6405,0.0077,0.0907,0.0182,2946.3672
520:690,0.1693,0.003,0.0155,0.1262,2742.0571
520:690,0.1915,0.0162,0.0144,0.0847,2962.1487
520:570:690,0.199,0.0831,0.0303,0.0944,2867.1719
520:620:690,0.8287,0.0113,0.2554,0.1016,2630.144
520:620,0.4957,0.003,0.1421,0.0142,2663.5239
520:690,0.1568,0.0026,0.0131,0.0668,2779.7085
520:570:690,0.4051,0.0352,0.0178,0.1439,2952.9226
520:690,0.5213,0.0126,0.0253,0.2911,2873.2119
520:620,1.7677,0.0009,0.125,0.0254,2607.6853
