Image,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Nucleus: Area,Nucleus: Perimeter,Nucleus: Circularity,Nucleus: Max caliper,Nucleus: Min caliper,Nucleus: Eccentricity,Nucleus: DAPI mean,Nucleus: DAPI sum,Nucleus: DAPI std dev,Nucleus: DAPI max,Nucleus: DAPI min,Nucleus: DAPI range,Nucleus: Opal 520 mean,Nucleus: Opal 520 sum,Nucleus: Opal 520 std dev,Nucleus: Opal 520 max,Nucleus: Opal 520 min,Nucleus: Opal 520 range,Nucleus: Opal 570 mean,Nucleus: Opal 570 sum,Nucleus: Opal 570 std dev,Nucleus: Opal 570 max,Nucleus: Opal 570 min,Nucleus: Opal 570 range,Nucleus: Opal 620 mean,Nucleus: Opal 620 sum,Nucleus: Opal 620 std dev,Nucleus: Opal 620 max,Nucleus: Opal 620 min,Nucleus: Opal 620 range,Nucleus: Opal 690 mean,Nucleus: Opal 690 sum,Nucleus: Opal 690 std dev,Nucleus: Opal 690 max,Nucleus: Opal 690 min,Nucleus: Opal 690 range,Nucleus: Autofluorescence mean,Nucleus: Autofluorescence sum,Nucleus: Autofluorescence std dev,Nucleus: Autofluorescence max,Nucleus: Autofluorescence min,Nucleus: Autofluorescence range,Cell: Area,Cell: Perimeter,Cell: Circularity,Cell: Max caliper,Cell: Min caliper,Cell: Eccentricity,Cell: DAPI mean,Cell: DAPI std dev,Cell: DAPI max,Cell: DAPI min,Cell: Opal 520 mean,Cell: Opal 520 std dev,Cell: Opal 520 max,Cell: Opal 520 min,Cell: Opal 570 mean,Cell: Opal 570 std dev,Cell: Opal 570 max,Cell: Opal 570 min,Cell: Opal 620 mean,Cell: Opal 620 std dev,Cell: Opal 620 max,Cell: Opal 620 min,Cell: Opal 690 mean,Cell: Opal 690 std dev,Cell: Opal 690 max,Cell: Opal 690 min,Cell: Autofluorescence mean,Cell: Autofluorescence std dev,Cell: Autofluorescence max,Cell: Autofluorescence min,Cytoplasm: DAPI mean,Cytoplasm: DAPI std dev,Cytoplasm: DAPI max,Cytoplasm: DAPI min,Cytoplasm: Opal 520 mean,Cytoplasm: Opal 520 std dev,Cytoplasm: Opal 520 max,Cytoplasm: Opal 520 min,Cytoplasm: Opal 570 mean,Cytoplasm: Opal 570 std dev,Cytoplasm: Opal 570 max,Cytoplasm: Opal 570 min,Cytoplasm: Opal 620 mean,Cytoplasm: Opal 620 std dev,Cytoplasm: Opal 620 max,Cytoplasm: Opal 620 min,Cytoplasm: Opal 690 mean,Cytoplasm: Opal 690 std dev,Cytoplasm: Opal 690 max,Cytoplasm: Opal 690 min,Cytoplasm: Autofluorescence mean,Cytoplasm: Autofluorescence std dev,Cytoplasm: Autofluorescence max,Cytoplasm: Autofluorescence min,Nucleus/Cell area ratio,Distance to annotation with line µm
AMM12_4_Stitched.ome.tif,Opal 570: Ignore*,Opal 570: Ignore*,ECL,Polygon,3046.2,1116.9,58,31.3914,0.7396,12.0941,7.1116,0.8253,8.8696,2084.3533,2.4694,14.256,3.6808,10.5752,0.0385,9.0401,0.0735,0.6103,0,0.6103,0.2611,61.3698,0.5671,3.4382,0,3.4382,0.0172,4.0465,0.0203,0.1836,0,0.1836,0.025,5.8658,0.0289,0.2397,0.0002,0.2395,2.8552,670.9647,0.7162,7.0556,2.0707,4.9849,182.25,53.1153,0.8118,19.3392,13.2685,0.6908,3.8003,3.9238,14.256,0,0.0575,0.1181,1.1555,0,0.1333,0.3724,3.4382,0,0.0185,0.0189,0.1836,0,0.0297,0.0422,0.4227,0,3.1354,1.409,10.7546,1.9336,1.3985,1.3573,7.0571,0,0.0665,0.1333,1.1555,0,0.0727,0.2026,2.1857,0,0.019,0.0181,0.1694,0,0.0319,0.0471,0.4227,0,3.2682,1.6219,10.7546,1.9336,0.3126,2840.9194
AMM12_4_Stitched.ome.tif,Opal 570: Opal 520: Opal 690: Ignore*,Opal 570: Opal 520: Opal 690: Ignore*,ECL,Polygon,3009.6,1115.6,23.75,17.9711,0.9241,6.5714,4.7742,0.6623,8.8994,863.2418,1.7064,12.0249,4.4631,7.5617,0.3247,31.4949,0.4846,2.7102,0.0048,2.7054,0.3721,36.0919,0.8611,3.5598,0,3.5598,0.0354,3.4361,0.0397,0.2821,0.0002,0.2819,0.1568,15.2135,0.1354,0.6603,0.0269,0.6333,2.6885,260.7856,0.4455,4.6647,2.0694,2.5953,76.5,34.4417,0.8104,11.711,9.8209,0.4884,4.1772,3.6647,12.0249,0.2657,0.3483,0.5554,4.2622,0,0.1596,0.5357,3.5598,0,0.0225,0.0257,0.2821,0.0001,0.1164,0.1095,0.6603,0.011,2.78,0.914,11.2539,1.9902,2.0166,1.8269,11.4492,0.2657,0.359,0.5858,4.2622,0,0.0624,0.2265,2.2643,0,0.0166,0.0116,0.0651,0.0001,0.0979,0.0898,0.4782,0.011,2.8219,1.06,11.2539,1.9902,0.2979,2871.8301
AMM12_4_Stitched.ome.tif,Ignore*,Ignore*,ECL,Polygon,3061.4,1115.2,15,14.6863,0.8739,5.3597,3.474,0.7227,3.1207,193.4808,0.5976,4.2456,1.7413,2.5043,0.0293,1.8135,0.024,0.0942,0,0.0942,0.0003,0.0169,0.0007,0.0032,0,0.0032,0.0143,0.8885,0.0071,0.035,0,0.035,0.0167,1.0365,0.0069,0.0382,0.0048,0.0334,2.4182,149.9303,0.1759,3.0724,2.1644,0.908,81,34.9881,0.8315,12.802,7.5,0.7881,1.4617,0.9923,4.2456,0.0922,0.0435,0.0537,0.3629,0,0.001,0.0036,0.0308,0,0.0182,0.0163,0.1874,0,0.0161,0.0084,0.0888,0,2.4901,0.446,5.793,1.9344,1.0779,0.5872,3.1911,0.0922,0.0468,0.058,0.3629,0,0.0012,0.0039,0.0308,0,0.0191,0.0177,0.1874,0,0.0159,0.0087,0.0888,0,2.5068,0.4864,5.793,1.9344,0.1821,2830.0369
AMM12_4_Stitched.ome.tif,Opal 570: Opal 520: Opal 690: Ignore*,Opal 570: Opal 520: Opal 690: Ignore*,ECL,Polygon,3017.7,1116.7,22,17.2075,0.9337,5.9944,4.4957,0.5776,10.1878,927.0858,2.2624,15.7808,5.0993,10.6815,0.2818,25.6427,0.317,1.7483,0,1.7483,0.2758,25.097,0.6271,3.4688,0,3.4688,0.0303,2.7551,0.0382,0.1932,0,0.1932,0.16,14.5635,0.1042,0.4552,0.0239,0.4312,3.0919,281.3617,0.9271,7.2523,1.8069,5.4454,74,33.4843,0.8294,12.2473,8.5082,0.7506,4.5002,4.2015,15.7808,0,0.2152,0.2452,1.7483,0,0.1041,0.37,3.4688,0,0.0196,0.0241,0.1932,0,0.1136,0.0914,0.4552,0.0007,3.3483,1.9533,12.918,1.8069,2.0118,1.6566,7.6496,0,0.1861,0.2001,1.0606,0,0.0289,0.0861,0.846,0,0.0149,0.0114,0.0464,0,0.0933,0.0771,0.3883,0.0007,3.4604,2.2532,12.918,2.0226,0.2915,2866.8936
AMM12_4_Stitched.ome.tif,Ignore*: Opal 690: Opal 620,Ignore*: Opal 690: Opal 620,ECL,Polygon,2915.3,1122.7,43,24.7773,0.8802,8.5627,6.2213,0.6861,6.0124,1040.1417,1.7001,10.6035,3.2043,7.3992,0.0167,2.8839,0.0184,0.0852,0,0.0852,0.0126,2.1717,0.0351,0.2664,0,0.2664,0.1623,28.0702,0.0864,0.4144,0.0312,0.3832,0.1082,18.726,0.0449,0.2638,0.0315,0.2324,2.2429,388.0258,0.1333,2.5381,1.9386,0.5995,214.75,53.4946,0.943,18.4283,15.5,0.5165,2.7746,2.4983,10.6035,0.2452,0.0244,0.0253,0.1477,0,0.0041,0.017,0.2664,0,0.079,0.0818,0.4579,0.0017,0.0716,0.0563,0.3223,0.0098,2.271,0.147,2.811,1.878,1.9628,1.948,9.0045,0.2452,0.0263,0.0264,0.1477,0,0.0019,0.0056,0.0489,0,0.0581,0.0657,0.4579,0.0017,0.0624,0.0551,0.3223,0.0098,2.278,0.1495,2.811,1.878,0.1959,2952.7151
AMM12_4_Stitched.ome.tif,Ignore*: Opal 620,Ignore*: Opal 620,ECL,Polygon,3059.7,1125.1,57.25,28.4256,0.8904,10.4661,7.0987,0.7387,7.3601,1685.4561,1.9807,11.4696,3.0411,8.4286,0.029,6.6391,0.0302,0.1907,0,0.1907,0.0143,3.2647,0.0576,0.5856,0,0.5856,0.073,16.7108,0.0953,0.5908,0.0025,0.5883,0.0327,7.4973,0.0475,0.2972,0.0047,0.2926,2.4953,571.4134,0.3825,3.7646,2.017,1.7477,205.25,54.2711,0.8757,19.1441,13.3641,0.7123,2.7896,3.1137,11.4696,0,0.0409,0.0675,0.7164,0,0.0089,0.0487,0.5977,0,0.0375,0.0644,0.5908,0.0013,0.0236,0.0285,0.2972,0.0029,2.4166,0.4106,4.4717,1.8641,1.0276,0.8682,5.5187,0,0.0455,0.0767,0.7164,0,0.0068,0.0446,0.5977,0,0.0238,0.0397,0.4124,0.0013,0.0201,0.0146,0.1157,0.0029,2.3862,0.4173,4.4717,1.8641,0.2681,2826.9109
AMM12_4_Stitched.ome.tif,Opal 570: Opal 520: Opal 690: Ignore*,Opal 570: Opal 520: Opal 690: Ignore*,ECL,Polygon,3021.8,1123.8,20.75,20.9909,0.5918,8.5699,3.4536,0.9299,2.7638,240.4496,0.6004,4.2218,1.7186,2.5031,0.5128,44.612,0.3534,1.7465,0.0144,1.7321,0.0497,4.3277,0.0843,0.548,0,0.548,0.0205,1.7796,0.0108,0.051,0.0009,0.0501,0.2943,25.6002,0.1222,0.5855,0.1138,0.4717,2.656,231.0684,0.1956,3.0828,2.1344,0.9484,103,39.6658,0.8226,14.6068,9.7943,0.7448,1.1885,1.1147,4.2218,0,0.5518,0.3681,1.8811,0.0138,0.0258,0.0762,0.8531,0,0.016,0.01,0.0593,0,0.2296,0.1276,0.7104,0.0442,2.9537,0.5803,5.2687,2.1125,0.7707,0.802,3.1217,0,0.5621,0.3718,1.8811,0.0138,0.0195,0.0728,0.8531,0,0.0148,0.0095,0.0593,0,0.2124,0.1236,0.7104,0.0442,3.0326,0.6217,5.2687,2.1125,0.1965,2861.261
AMM12_4_Stitched.ome.tif,Ignore*: Opal 520: Opal 690,Ignore*: Opal 520: Opal 690,ECL,Polygon,3008,1123.6,27,24.5681,0.5621,10.2172,3.6379,0.943,2.963,334.8143,0.5605,4.0475,1.524,2.5235,0.4504,50.8897,0.2978,1.7405,0.1126,1.6279,0.0234,2.6391,0.0332,0.1684,0,0.1684,0.026,2.9412,0.0144,0.0724,0.0015,0.0709,0.4295,48.5357,0.2324,1.0291,0.0972,0.9319,2.9752,336.2005,0.3577,3.8332,2.1914,1.6417,102,42.0926,0.7234,16.6069,8.3835,0.8797,1.5856,1.2814,4.0475,0,0.4816,0.3412,2.599,0.0089,0.0202,0.0432,0.4979,0,0.02,0.0132,0.0724,0,0.3153,0.189,1.0291,0.0564,3.489,1.075,8.2049,2.1914,1.065,1.0749,3.9347,0,0.4934,0.356,2.599,0.0089,0.019,0.0464,0.4979,0,0.0177,0.0119,0.0523,0,0.2721,0.1487,0.7924,0.0564,3.6831,1.1866,8.2049,2.209,0.267,2868.6372
AMM12_4_Stitched.ome.tif,Opal 570: Opal 520: Ignore*,Opal 570: Opal 520: Ignore*,ECL,Polygon,2951.8,1124.5,51.75,26.2059,0.9469,9.1495,7.1045,0.6138,8.0313,1694.6112,1.7464,10.9171,3.1024,7.8147,0.55,116.0533,0.9959,4.4122,0,4.4122,0.3416,72.0715,0.6043,3.013,0,3.013,0.0211,4.4528,0.0199,0.1274,0.0009,0.1265,0.02,4.2249,0.0144,0.1067,0.0023,0.1045,2.5164,530.9592,0.3866,3.9291,1.8628,2.0664,204,53.1253,0.9083,18.9058,13.4635,0.7018,3.1603,3.2789,12.3311,0.0402,0.2459,0.6026,4.4122,0,0.1088,0.3479,3.013,0,0.0211,0.026,0.3304,0.0007,0.0229,0.0168,0.1643,0.0023,2.4402,0.3479,4.3366,1.8628,1.4726,1.5302,12.3311,0.0402,0.1406,0.3215,2.3946,0,0.0282,0.1078,1.1686,0,0.0211,0.0279,0.3304,0.0007,0.0239,0.0175,0.1643,0.003,2.4138,0.3297,4.3366,1.9227,0.2456,2918.8682
AMM12_4_Stitched.ome.tif,Ignore*: Opal 520: Opal 690,Ignore*: Opal 520: Opal 690,ECL,Polygon,2877.6,1125.8,45.75,29.2441,0.6722,11.0777,7.1012,0.7489,6.7991,1271.4313,1.9212,10.8383,3.1412,7.6971,0.4553,85.144,0.2619,1.3104,0.0144,1.2959,0.0284,5.3107,0.0452,0.2073,0,0.2073,0.0424,7.9376,0.0364,0.2218,0.0022,0.2197,0.1421,26.5657,0.0861,0.3995,0.0179,0.3816,2.5918,484.6682,0.3587,4.1346,1.9744,2.1602,243.5,57.9078,0.9125,20.4245,16.8733,0.5163,2.7327,2.6309,10.8383,0,0.3364,0.2931,2.0871,0,0.0087,0.0236,0.2073,0,0.0453,0.0718,0.7285,0,0.1355,0.1071,1.1041,0.0111,2.881,0.9997,6.857,1.8762,1.7714,1.6886,9.4378,0,0.3082,0.2932,2.0871,0,0.004,0.0096,0.093,0,0.046,0.0778,0.7285,0,0.134,0.1115,1.1041,0.0111,2.9494,1.0869,6.857,1.8762,0.187,2983.0896
