Image,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Nucleus: Area,Nucleus: Perimeter,Nucleus: Circularity,Nucleus: Max caliper,Nucleus: Min caliper,Nucleus: Eccentricity,Nucleus: DAPI mean,Nucleus: DAPI sum,Nucleus: DAPI std dev,Nucleus: DAPI max,Nucleus: DAPI min,Nucleus: DAPI range,Nucleus: Opal 520 mean,Nucleus: Opal 520 sum,Nucleus: Opal 520 std dev,Nucleus: Opal 520 max,Nucleus: Opal 520 min,Nucleus: Opal 520 range,Nucleus: Opal 570 mean,Nucleus: Opal 570 sum,Nucleus: Opal 570 std dev,Nucleus: Opal 570 max,Nucleus: Opal 570 min,Nucleus: Opal 570 range,Nucleus: Opal 620 mean,Nucleus: Opal 620 sum,Nucleus: Opal 620 std dev,Nucleus: Opal 620 max,Nucleus: Opal 620 min,Nucleus: Opal 620 range,Nucleus: Opal 690 mean,Nucleus: Opal 690 sum,Nucleus: Opal 690 std dev,Nucleus: Opal 690 max,Nucleus: Opal 690 min,Nucleus: Opal 690 range,Nucleus: Autofluorescence mean,Nucleus: Autofluorescence sum,Nucleus: Autofluorescence std dev,Nucleus: Autofluorescence max,Nucleus: Autofluorescence min,Nucleus: Autofluorescence range,Cell: Area,Cell: Perimeter,Cell: Circularity,Cell: Max caliper,Cell: Min caliper,Cell: Eccentricity,Cell: DAPI mean,Cell: DAPI std dev,Cell: DAPI max,Cell: DAPI min,Cell: Opal 520 mean,Cell: Opal 520 std dev,Cell: Opal 520 max,Cell: Opal 520 min,Cell: Opal 570 mean,Cell: Opal 570 std dev,Cell: Opal 570 max,Cell: Opal 570 min,Cell: Opal 620 mean,Cell: Opal 620 std dev,Cell: Opal 620 max,Cell: Opal 620 min,Cell: Opal 690 mean,Cell: Opal 690 std dev,Cell: Opal 690 max,Cell: Opal 690 min,Cell: Autofluorescence mean,Cell: Autofluorescence std dev,Cell: Autofluorescence max,Cell: Autofluorescence min,Cytoplasm: DAPI mean,Cytoplasm: DAPI std dev,Cytoplasm: DAPI max,Cytoplasm: DAPI min,Cytoplasm: Opal 520 mean,Cytoplasm: Opal 520 std dev,Cytoplasm: Opal 520 max,Cytoplasm: Opal 520 min,Cytoplasm: Opal 570 mean,Cytoplasm: Opal 570 std dev,Cytoplasm: Opal 570 max,Cytoplasm: Opal 570 min,Cytoplasm: Opal 620 mean,Cytoplasm: Opal 620 std dev,Cytoplasm: Opal 620 max,Cytoplasm: Opal 620 min,Cytoplasm: Opal 690 mean,Cytoplasm: Opal 690 std dev,Cytoplasm: Opal 690 max,Cytoplasm: Opal 690 min,Cytoplasm: Autofluorescence mean,Cytoplasm: Autofluorescence std dev,Cytoplasm: Autofluorescence max,Cytoplasm: Autofluorescence min,Nucleus/Cell area ratio,Distance to annotation with line µm
AMM20_5_Stitched.ome.tif,Ignore*: Opal 520: Opal 690,Ignore*: Opal 520: Opal 690,ER,Polygon,7526,4927.1,46.25,36.6369,0.433,11.0044,7.7338,0.7272,4.8299,908.0272,2.2801,11.6014,1.6457,9.9557,0.3948,74.2305,0.3517,2.2874,0.0324,2.2551,0.0013,0.247,0.0059,0.0493,0,0.0493,0.006,1.1342,0.0092,0.0583,0,0.0583,0.1051,19.751,0.0916,0.6811,0.0268,0.6543,2.9685,558.0813,0.5963,6.1055,2.3594,3.7461,201,57.4858,0.7643,21.112,14.1532,0.7697,1.5977,2.3069,11.6014,0,0.2418,0.2771,2.2874,0.001,0.0012,0.0073,0.1163,0,0.0035,0.0059,0.0583,0,0.0679,0.0987,1.0641,0.0042,2.9191,0.9482,9.0995,2.0501,0.6144,1.1027,8.719,0,0.1952,0.2311,1.6381,0.001,0.0012,0.0077,0.1163,0,0.0027,0.0041,0.0471,0,0.0566,0.0981,1.0641,0.0042,2.9041,1.0317,9.0995,2.0501,0.2272,4270.3037
AMM20_5_Stitched.ome.tif,Ignore*: Opal 520: Opal 690: Opal 570,Ignore*: Opal 520: Opal 690: Opal 570,ER,Polygon,7541.5,4928.8,57.5,32.4393,0.6866,11.7489,7.9339,0.7484,4.0735,961.3562,1.0394,6.6659,1.6893,4.9766,0.7127,168.1895,0.6921,4.5948,0.0587,4.5361,0.0155,3.6559,0.0535,0.4618,0,0.4618,0.004,0.9339,0.0048,0.0258,0,0.0258,0.1806,42.6255,0.1362,0.8571,0.0273,0.8298,3.2179,759.4191,0.8346,6.175,2.1411,4.0339,179,54.3114,0.7626,19.5662,13.5033,0.7217,1.7254,1.8796,6.6659,0,0.4326,0.5289,4.5948,0.0101,0.0068,0.0363,0.4618,0,0.0034,0.0051,0.0511,0,0.1164,0.1282,0.8571,0.0023,3.1268,1.0406,7.4919,2.0606,0.5805,0.8518,4.5252,0,0.296,0.3555,2.0228,0.0101,0.0026,0.0227,0.3423,0,0.0031,0.0053,0.0511,0,0.0851,0.1116,0.6318,0.0023,3.0824,1.1256,7.4919,2.0606,0.321,4281.082
AMM20_5_Stitched.ome.tif,Ignore*: Opal 520: Opal 690,Ignore*: Opal 520: Opal 690,ER,Polygon,7554,4930.5,57,33.4126,0.6416,11.3212,7.9775,0.7841,2.2402,526.4542,0.6805,4.4286,0.293,4.1356,0.4617,108.5028,0.4789,3.4343,0.003,3.4314,0.0002,0.0554,0.0014,0.0113,0,0.0113,0.0039,0.9152,0.0061,0.0412,0,0.0412,0.0581,13.6592,0.0551,0.3301,0.0039,0.3262,2.984,701.2316,0.6659,5.9169,2.263,3.6538,212,57.8624,0.7957,20.2156,14.3143,0.7594,0.8978,0.997,4.4286,0,0.3783,0.6125,6.204,0.002,0.0009,0.0075,0.1873,0,0.003,0.0043,0.0412,0,0.0407,0.0474,0.3301,0,2.9995,1.1349,10.9515,1.9976,0.3857,0.4964,3.3939,0,0.3465,0.6539,6.204,0.002,0.0012,0.0088,0.1873,0,0.0026,0.0033,0.0166,0,0.0341,0.0423,0.2399,0,3.0054,1.2694,10.9515,1.9976,0.2729,4292.0479
AMM20_5_Stitched.ome.tif,Opal 620: Opal 520: Ignore*,Opal 620: Opal 520: Ignore*,ER,Polygon,7596.4,4936.3,79,38.7246,0.662,13.9812,9.2338,0.7696,4.0792,1321.6561,1.1992,7.4303,1.5414,5.889,1.712,554.6858,0.7683,4.5025,0.2596,4.243,0,0,0,0,0,0,0.1889,61.2078,0.1225,0.5483,0,0.5483,0.0134,4.3489,0.014,0.1217,0,0.1217,2.9287,948.8947,0.2895,3.8852,2.3041,1.5811,322,66.5799,0.9128,23.3657,19.0658,0.5805,1.3672,1.7531,7.4303,0,0.6882,0.8137,4.5025,0.0256,0,0.0003,0.0037,0,0.0679,0.1027,0.5483,0,0.0128,0.0091,0.1217,0,2.5285,0.3372,3.8852,2.0346,0.4576,0.5714,3.316,0,0.3449,0.4658,2.4709,0.0256,0.0001,0.0003,0.0037,0,0.0273,0.0501,0.3997,0,0.0126,0.0067,0.0842,0.0005,2.3943,0.228,3.3965,2.0346,0.2468,4326.2812
AMM20_5_Stitched.ome.tif,Ignore*: Opal 520: Opal 690: Opal 570,Ignore*: Opal 520: Opal 690: Opal 570,ER,Polygon,7563.1,4934.8,45.5,25.0946,0.9079,8.9176,7.2221,0.5021,7.618,1409.3368,1.6744,10.4605,3.7586,6.702,0.1587,29.3549,0.1102,0.62,0,0.62,0.0416,7.6983,0.1371,1.0479,0,1.0479,0.0041,0.7561,0.005,0.0322,0,0.0322,0.0626,11.5745,0.0848,0.5249,0.0115,0.5134,3.2974,610.0129,1.1651,8.1378,2.4152,5.7226,120.5,43.1142,0.8146,16.5732,9.2414,0.834,3.4274,3.6026,10.4605,0,0.202,0.1928,1.0954,0,0.037,0.1647,1.6963,0,0.0039,0.0058,0.054,0,0.0394,0.059,0.5249,0,3.3271,1.3918,10.0267,2.3094,0.8518,1.3334,6.5911,0,0.2287,0.2254,1.0954,0,0.0342,0.1797,1.6963,0,0.0038,0.0062,0.054,0,0.0251,0.0261,0.1733,0,3.3454,1.516,10.0267,2.3094,0.3677,4298.186
AMM20_5_Stitched.ome.tif,Ignore*: Opal 520: Opal 690,Ignore*: Opal 520: Opal 690,ER,Polygon,7528.5,4936.9,38,26.0701,0.7026,9.2313,5.8302,0.818,7.2235,1119.6416,2.4681,13.7925,2.9208,10.8717,0.4208,65.2229,0.2822,1.5544,0.0455,1.5088,0.0005,0.0797,0.0026,0.0223,0,0.0223,0.0451,6.9943,0.0796,0.4694,0,0.4694,0.0757,11.7351,0.0585,0.2969,0.0066,0.2903,3.5874,556.0524,0.9244,6.8248,2.2803,4.5445,88,36.7256,0.8199,12.6866,10.2293,0.4229,3.8768,3.5269,13.7925,0,0.4211,0.2952,1.5544,0,0.0016,0.0095,0.1131,0,0.0314,0.0676,0.4694,0,0.0791,0.0671,0.376,0.0066,4.1812,1.6419,11.2815,2.2803,1.3215,1.4778,5.2424,0,0.4214,0.3054,1.2281,0,0.0024,0.0124,0.1131,0,0.0209,0.0547,0.3555,0,0.0818,0.073,0.376,0.008,4.6345,1.9068,11.2815,2.2974,0.4271,4267.8857
AMM20_5_Stitched.ome.tif,Ignore*: Opal 520: Opal 690,Ignore*: Opal 520: Opal 690,ER,Polygon,7537.6,4940.2,39.5,24.9214,0.7992,9.5552,5.4988,0.8317,5.1725,817.2573,1.5057,8.8683,2.1206,6.7477,0.5032,79.5134,0.2229,1.2208,0.0913,1.1295,0.0111,1.7506,0.0368,0.272,0,0.272,0.025,3.9554,0.0469,0.27,0,0.27,0.1847,29.1883,0.1739,1.1067,0.0369,1.0698,5.0853,803.476,1.7843,10.1792,2.7106,7.4686,104.25,40.0327,0.8174,15.535,10.0478,0.7863,2.5095,2.409,8.8683,0,0.3587,0.2563,1.2208,0.0201,0.005,0.0234,0.272,0,0.0149,0.0325,0.27,0,0.1314,0.1384,1.1067,0.0052,4.0058,1.8184,10.9275,2.0977,0.9097,1.0484,4.0008,0,0.2719,0.2353,1.1735,0.0201,0.0014,0.0054,0.049,0,0.0088,0.0166,0.1533,0,0.0994,0.0993,0.4863,0.0052,3.3574,1.5059,10.9275,2.0977,0.3731,4274.0249
AMM20_5_Stitched.ome.tif,Ignore*: Opal 520: Opal 690,Ignore*: Opal 520: Opal 690,ER,Polygon,7570.8,4938.4,42.5,32.1278,0.5174,12.609,5.1773,0.9228,4.8799,873.511,1.7219,7.4349,1.4031,6.0318,0.2379,42.5844,0.1458,0.9268,0.0449,0.8819,0.0038,0.6769,0.011,0.0761,0,0.0761,0.0045,0.8085,0.0048,0.0304,0,0.0304,0.0594,10.6393,0.0796,0.5449,0.0041,0.5409,2.673,478.4645,0.2564,3.9022,2.2537,1.6484,166,55.075,0.6877,20.4198,11.2221,0.8874,1.8862,2.1963,7.4349,0,0.234,0.2104,1.6625,0,0.0015,0.0067,0.0761,0,0.0034,0.0042,0.0356,0,0.0649,0.0917,0.6434,0.0016,2.8956,0.7767,7.7035,2.1391,0.7925,1.0153,6.3281,0,0.2326,0.2296,1.6625,0,0.0007,0.0038,0.0642,0,0.0031,0.0039,0.0356,0,0.0668,0.0957,0.6434,0.0016,2.977,0.8805,7.7035,2.1391,0.2692,4301.7085
AMM20_5_Stitched.ome.tif,Opal 620: Opal 520: Ignore*,Opal 620: Opal 520: Ignore*,ER,Polygon,7613.7,4939.7,28.25,20.9556,0.8084,8.1468,5.1742,0.7477,3.4199,403.5489,1.0023,5.731,1.6688,4.0622,0.9298,109.7211,0.7353,3.6456,0.1596,3.486,0,0.0007,0,0.0004,0,0.0004,0.0989,11.6722,0.0799,0.3607,0.0028,0.3579,0.0156,1.8381,0.0051,0.0286,0.0041,0.0245,2.5833,304.8308,0.2962,3.5215,2.0696,1.4518,204,51.6775,0.9599,18.094,14.9218,0.558,0.9008,1.2376,5.731,0,0.4007,0.6054,4.5669,0.0112,0,0.0003,0.0044,0,0.0315,0.0549,0.3607,0,0.0133,0.005,0.042,0.0004,2.3982,0.2763,3.9521,1.9228,0.4756,0.607,3.5644,0,0.3113,0.5315,4.5669,0.0112,0.0001,0.0003,0.0044,0,0.0201,0.0394,0.2779,0,0.013,0.0049,0.042,0.0004,2.367,0.2603,3.9521,1.9228,0.1399,4339.4492
AMM20_5_Stitched.ome.tif,Ignore*: Opal 520: Opal 690,Ignore*: Opal 520: Opal 690,ER,Polygon,7526.5,4948,49.5,27.1723,0.8425,9.2308,7.9176,0.5505,2.6045,536.5196,0.7561,4.7423,0.6575,4.0848,0.5192,106.9635,0.2685,1.3698,0.0984,1.2715,0.008,1.651,0.0292,0.254,0,0.254,0.0042,0.864,0.0079,0.0663,0,0.0663,0.0475,9.7895,0.0467,0.2417,0.0099,0.2317,3.299,679.5896,0.8162,6.7138,2.3027,4.4111,211.75,54.6954,0.8895,19.109,14.9597,0.6463,0.8766,1.1092,4.7423,0,0.3853,0.393,2.3801,0.0063,0.0025,0.0154,0.254,0,0.0032,0.0051,0.0663,0,0.0602,0.0732,0.508,0.0018,2.9901,0.886,7.373,2.0365,0.3264,0.4315,2.7382,0,0.3426,0.4162,2.3801,0.0063,0.0007,0.0054,0.0919,0,0.0029,0.0037,0.022,0,0.0642,0.0794,0.508,0.0018,2.8917,0.8853,7.373,2.0365,0.2371,4260.7095
